These results were downloaded and refreshed on October   20, 2015 at 12:18 p.m. ET. / Ces résultats ont été téléchargés et rafraichis le 20 octobre 2015 à 12h18 HE.													
Electoral district number - Numéro de la circonscription	Electoral district name	Nom de la circonscription	Type of results*	Type de résultats**	Surname - Nom de famille	Middle name(s) - Autre(s) prénom(s)	Given name - Prénom	Political affiliation	Appartenance politique	Votes obtained - Votes obtenus	% Votes obtained - Votes obtenus %	Rejected ballots - Bulletins rejetés***	Total number of ballots cast - Nombre total de votes déposés
13009	Saint John--Rothesay	Saint John--Rothesay	preliminary	préliminaires	Long		Wayne	Liberal	Libéral	20622	48.8	0	42289
13009	Saint John--Rothesay	Saint John--Rothesay	preliminary	préliminaires	Murphy		Sharon	Green Party	Parti Vert	1344	3.2	0	42289
13009	Saint John--Rothesay	Saint John--Rothesay	preliminary	préliminaires	Weston		Rodney	Conservative	Conservateur	12837	30.4	0	42289
13010	Tobique--Mactaquac	Tobique--Mactaquac	preliminary	préliminaires	Bragdon		Richard	Conservative	Conservateur	14209	37	0	38438
13010	Tobique--Mactaquac	Tobique--Mactaquac	preliminary	préliminaires	Harvey		TJ	Liberal	Libéral	17925	46.6	0	38438
13010	Tobique--Mactaquac	Tobique--Mactaquac	preliminary	préliminaires	Kitchen		Robert	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4345	11.3	0	38438
13010	Tobique--Mactaquac	Tobique--Mactaquac	preliminary	préliminaires	Wishart		Terry	Green Party	Parti Vert	1959	5.1	0	38438
24001	Abitibi--Baie-James--Nunavik--Eeyou	Abitibi--Baie-James--Nunavik--Eeyou	preliminary	préliminaires	Benoît		Patrick	Green Party	Parti Vert	779	2.3	0	34538
24001	Abitibi--Baie-James--Nunavik--Eeyou	Abitibi--Baie-James--Nunavik--Eeyou	preliminary	préliminaires	Dufour		Pierre	Liberal	Libéral	11084	32.1	0	34538
24001	Abitibi--Baie-James--Nunavik--Eeyou	Abitibi--Baie-James--Nunavik--Eeyou	preliminary	préliminaires	Ferland		Luc	Bloc Québécois	Bloc Québécois	6398	18.5	0	34538
24001	Abitibi--Baie-James--Nunavik--Eeyou	Abitibi--Baie-James--Nunavik--Eeyou	preliminary	préliminaires	Gagnon		Mario	Rhinoceros	Rhinocéros	278	.8	0	34538
24001	Abitibi--Baie-James--Nunavik--Eeyou	Abitibi--Baie-James--Nunavik--Eeyou	preliminary	préliminaires	Hébert		Steven	Conservative	Conservateur	3211	9.3	0	34538
24001	Abitibi--Baie-James--Nunavik--Eeyou	Abitibi--Baie-James--Nunavik--Eeyou	preliminary	préliminaires	Saganash		Romeo	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	12788	37	0	34538
24002	Abitibi--Témiscamingue	Abitibi--Témiscamingue	preliminary	préliminaires	Bégin		Aline	Green Party	Parti Vert	881	1.8	0	49828
24002	Abitibi--Témiscamingue	Abitibi--Témiscamingue	preliminary	préliminaires	Fortin		Benoit	Conservative	Conservateur	3405	6.8	0	49828
24002	Abitibi--Témiscamingue	Abitibi--Témiscamingue	preliminary	préliminaires	Gélinas		Pascal Le Fou	Rhinoceros	Rhinocéros	444	.9	0	49828
24002	Abitibi--Témiscamingue	Abitibi--Témiscamingue	preliminary	préliminaires	Moore		Christine	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	20699	41.5	0	49828
24002	Abitibi--Témiscamingue	Abitibi--Témiscamingue	preliminary	préliminaires	Moreau		Yvon	Bloc Québécois	Bloc Québécois	9744	19.6	0	49828
24002	Abitibi--Témiscamingue	Abitibi--Témiscamingue	preliminary	préliminaires	Thibault		Claude	Liberal	Libéral	14655	29.4	0	49828
24003	Ahuntsic-Cartierville	Ahuntsic-Cartierville	preliminary	préliminaires	Bourdon		Nicolas	Bloc Québécois	Bloc Québécois	7463	13.4	0	55549
24003	Ahuntsic-Cartierville	Ahuntsic-Cartierville	preliminary	préliminaires	Gascon-David		Catherine	Rhinoceros	Rhinocéros	284	.5	0	55549
24003	Ahuntsic-Cartierville	Ahuntsic-Cartierville	preliminary	préliminaires	Joly		Mélanie	Liberal	Libéral	25871	46.6	0	55549
24003	Ahuntsic-Cartierville	Ahuntsic-Cartierville	preliminary	préliminaires	Mercier		Gilles	Green Party	Parti Vert	1183	2.1	0	55549
24003	Ahuntsic-Cartierville	Ahuntsic-Cartierville	preliminary	préliminaires	Moughrabi		Wiliam	Conservative	Conservateur	4089	7.4	0	55549
24003	Ahuntsic-Cartierville	Ahuntsic-Cartierville	preliminary	préliminaires	Mourani		Maria	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	16659	30	0	55549
24004	Alfred-Pellan	Alfred-Pellan	preliminary	préliminaires	Briguene		Lynda	Green Party	Parti Vert	1079	2	0	54614
24004	Alfred-Pellan	Alfred-Pellan	preliminary	préliminaires	Doré Lefebvre		Rosane	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	13129	24	0	54614
24004	Alfred-Pellan	Alfred-Pellan	preliminary	préliminaires	Iacono		Angelo	Liberal	Libéral	24276	44.5	0	54614
24004	Alfred-Pellan	Alfred-Pellan	preliminary	préliminaires	Isopo		Renata	Independent	Indépendant	199	.4	0	54614
24004	Alfred-Pellan	Alfred-Pellan	preliminary	préliminaires	Purcarus		Gabriel	Conservative	Conservateur	6165	11.3	0	54614
24004	Alfred-Pellan	Alfred-Pellan	preliminary	préliminaires	St-Hilaire		Daniel	Bloc Québécois	Bloc Québécois	9766	17.9	0	54614
24005	Argenteuil--La Petite-Nation	Argenteuil--La Petite-Nation	preliminary	préliminaires	Beauchamp		Jonathan	Bloc Québécois	Bloc Québécois	9625	18.9	0	50983
24005	Argenteuil--La Petite-Nation	Argenteuil--La Petite-Nation	preliminary	préliminaires	Crête		Chantal	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	12658	24.8	0	50983
24005	Argenteuil--La Petite-Nation	Argenteuil--La Petite-Nation	preliminary	préliminaires	Hupé-Labelle		Maxime	Conservative	Conservateur	5679	11.1	0	50983
